ts,equity,cash,position_value
2026-07-01T09:45:00+00:00,10000.000000,10000.000000,0.000000
2026-07-01T10:00:00+00:00,10000.000000,10000.000000,0.000000
2026-07-01T10:15:00+00:00,10000.000000,10000.000000,0.000000
2026-07-01T10:30:00+00:00,10000.000000,10000.000000,0.000000
2026-07-01T10:45:00+00:00,10000.000000,10000.000000,0.000000
2026-07-01T11:00:00+00:00,10000.000000,10000.000000,0.000000
2026-07-01T11:15:00+00:00,10000.000000,10000.000000,0.000000
2026-07-01T11:30:00+00:00,10000.000000,10000.000000,0.000000
2026-07-01T11:45:00+00:00,10000.000000,10000.000000,0.000000
2026-07-01T12:00:00+00:00,10000.000000,10000.000000,0.000000
2026-07-01T12:15:00+00:00,10000.000000,10000.000000,0.000000
2026-07-01T12:30:00+00:00,10000.000000,10000.000000,0.000000
2026-07-01T12:45:00+00:00,10000.000000,10000.000000,0.000000
2026-07-01T13:00:00+00:00,10000.000000,10000.000000,0.000000
2026-07-01T13:15:00+00:00,10000.000000,10000.000000,0.000000
2026-07-01T13:30:00+00:00,10000.000000,10000.000000,0.000000
2026-07-01T13:45:00+00:00,10000.000000,10000.000000,0.000000
2026-07-01T14:00:00+00:00,10000.000000,10000.000000,0.000000
2026-07-01T14:15:00+00:00,10000.000000,10000.000000,0.000000
2026-07-01T14:30:00+00:00,10000.000000,10000.000000,0.000000
2026-07-01T14:45:00+00:00,10000.000000,10000.000000,0.000000
2026-07-01T15:00:00+00:00,10000.000000,10000.000000,0.000000
2026-07-01T15:15:00+00:00,9993.001000,-2.999000,10000.000000
2026-07-01T15:30:00+00:00,10008.674201,-2.999000,9984.326799
2026-07-01T15:45:00+00:00,10020.947396,-2.999000,9972.053604
2026-07-01T16:00:00+00:00,10022.357155,-2.999000,9970.643845
2026-07-01T16:15:00+00:00,10021.776666,-2.999000,9971.224334
2026-07-01T16:30:00+00:00,10030.649854,-2.999000,9962.351146
2026-07-01T16:45:00+00:00,10056.854783,-2.999000,9936.146217
2026-07-01T17:00:00+00:00,10061.249914,-2.999000,9931.751086
2026-07-01T17:15:00+00:00,10019.869345,-2.999000,9973.131655
2026-07-01T17:30:00+00:00,10019.537637,-2.999000,9973.463363
2026-07-01T17:45:00+00:00,10013.152259,-2.999000,9979.848741
2026-07-01T18:00:00+00:00,10032.308394,-2.999000,9960.692606
2026-07-01T18:15:00+00:00,10020.864469,-2.999000,9972.136531
2026-07-01T18:30:00+00:00,10007.679077,-2.999000,9985.321923
2026-07-01T18:45:00+00:00,10017.132754,-2.999000,9975.868246
2026-07-01T19:00:00+00:00,9998.059546,-2.999000,9994.941454
2026-07-01T19:15:00+00:00,10019.040075,-2.999000,9973.960925
2026-07-01T19:30:00+00:00,10010.001033,-2.999000,9982.999967
2026-07-01T19:45:00+00:00,10033.965358,10033.965358,0.000000
2026-07-01T20:00:00+00:00,10033.965358,10033.965358,0.000000
2026-07-01T20:15:00+00:00,10033.965358,10033.965358,0.000000
2026-07-01T20:30:00+00:00,10033.965358,10033.965358,0.000000
2026-07-01T20:45:00+00:00,10033.965358,10033.965358,0.000000
2026-07-01T21:00:00+00:00,10026.942586,-3.009186,10033.965358
2026-07-01T21:15:00+00:00,10013.991891,-3.009186,10046.916052
2026-07-01T21:30:00+00:00,9966.921099,-3.009186,10093.986844
2026-07-01T21:45:00+00:00,9965.094719,-3.009186,10095.813224
2026-07-01T22:00:00+00:00,9965.094719,-3.009186,10095.813224
2026-07-01T22:15:00+00:00,10011.252322,-3.009186,10049.655622
2026-07-01T22:30:00+00:00,10020.052152,-3.009186,10040.855791
2026-07-01T22:45:00+00:00,10023.621895,-3.009186,10037.286049
2026-07-01T23:00:00+00:00,10054.809470,10054.809470,0.000000
2026-07-01T23:15:00+00:00,10054.809470,10054.809470,0.000000
2026-07-01T23:30:00+00:00,10054.809470,10054.809470,0.000000
2026-07-01T23:45:00+00:00,10054.809470,10054.809470,0.000000
2026-07-02T00:00:00+00:00,10054.809470,10054.809470,0.000000
2026-07-02T00:15:00+00:00,10054.809470,10054.809470,0.000000
2026-07-02T00:30:00+00:00,10054.809470,10054.809470,0.000000
2026-07-02T00:45:00+00:00,10054.809470,10054.809470,0.000000
2026-07-02T01:00:00+00:00,10054.809470,10054.809470,0.000000
2026-07-02T01:15:00+00:00,10054.809470,10054.809470,0.000000
2026-07-02T01:30:00+00:00,10054.809470,10054.809470,0.000000
2026-07-02T01:45:00+00:00,10054.809470,10054.809470,0.000000
2026-07-02T02:00:00+00:00,10054.809470,10054.809470,0.000000
2026-07-02T02:15:00+00:00,10054.809470,10054.809470,0.000000
2026-07-02T02:30:00+00:00,10054.809470,10054.809470,0.000000
2026-07-02T02:45:00+00:00,10054.809470,10054.809470,0.000000
2026-07-02T03:00:00+00:00,10054.809470,10054.809470,0.000000
2026-07-02T03:15:00+00:00,10054.809470,10054.809470,0.000000
2026-07-02T03:30:00+00:00,10047.772109,-3.015437,10054.809470
2026-07-02T03:45:00+00:00,10006.172047,-3.015437,10096.409533
2026-07-02T04:00:00+00:00,10025.607464,-3.015437,10076.974116
2026-07-02T04:15:00+00:00,10039.667127,-3.015437,10062.914453
2026-07-02T04:30:00+00:00,10052.982455,-3.015437,10049.599125
2026-07-02T04:45:00+00:00,10051.824600,-3.015437,10050.756979
2026-07-02T05:00:00+00:00,10038.426568,-3.015437,10064.155011
