trade_id,symbol,side,qty,entry_ts,entry_price,exit_ts,exit_price,pnl,fees,return_pct
1,BTCUSD,LONG,0.14060248163380085,2026-06-01T21:15:00+00:00,71136.7245,2026-06-01T22:45:00+00:00,71370.2231,22.812067,10.018415,0.3282
2,BTCUSD,LONG,0.14198829941459307,2026-06-02T01:45:00+00:00,70603.1178,2026-06-02T04:30:00+00:00,70987.2997,44.497243,10.052091,0.5441
3,BTCUSD,LONG,0.1433211752164125,2026-06-02T05:45:00+00:00,70257.0486,2026-06-02T20:45:00+00:00,67548.4876,-398.069371,9.875226,-3.8552
4,BTCUSD,SHORT,0.1424691676518199,2026-06-02T21:15:00+00:00,67855.4262,2026-06-02T22:00:00+00:00,67216.4406,81.413958,9.621788,0.9417
5,BTCUSD,LONG,0.14694235570801537,2026-06-02T22:45:00+00:00,66370.2714,2026-06-03T05:00:00+00:00,67098.5776,97.212915,9.806114,1.0973
6,BTCUSD,LONG,0.14806818344703243,2026-06-03T15:00:00+00:00,66522.3018,2026-06-03T21:45:00+00:00,65711.3551,-129.865203,9.789799,-1.2191
7,BTCUSD,LONG,0.1504812147733173,2026-06-03T23:00:00+00:00,64592.4159,2026-06-04T03:00:00+00:00,63924.2126,-110.221713,9.669669,-1.0345
8,BTCUSD,LONG,0.1517241471790519,2026-06-04T08:00:00+00:00,63336.6648,2026-06-04T12:15:00+00:00,63235.3504,-24.973856,9.602016,-0.1600
9,BTCUSD,SHORT,0.14924280736492027,2026-06-04T13:45:00+00:00,64196.6581,2026-06-04T16:45:00+00:00,63548.7072,87.169473,9.532538,1.0093
10,BTCUSD,LONG,0.15345635547970485,2026-06-04T17:30:00+00:00,63027.1029,2026-06-04T18:15:00+00:00,63870.2234,119.645599,9.736601,1.3377
11,BTCUSD,LONG,0.15618911118620618,2026-06-05T02:15:00+00:00,62690.5356,2026-06-05T04:15:00+00:00,63204.3566,70.421540,9.831706,0.8196
12,BTCUSD,LONG,0.15891248006462905,2026-06-05T06:00:00+00:00,62059.4094,2026-06-05T07:30:00+00:00,62844.4286,114.824959,9.924389,1.2649
13,BTCUSD,LONG,0.16431165449136517,2026-06-05T13:45:00+00:00,60719.1414,2026-06-05T16:45:00+00:00,61351.7272,93.912386,10.028833,1.0418
14,BTCUSD,LONG,0.16801461746463453,2026-06-05T18:30:00+00:00,59939.9856,2026-06-05T20:00:00+00:00,60820.3335,137.766566,10.144749,1.4687
