strategy,pnl,return_pct,sharpe,winrate,dd,trades,pf
grid,131427.24125950906,1314.2724125950906,279.93037649828625,88.6178861788618,-5.109397850534627,123,8.520933631112324
smc_choch_bos,6343.665086184363,63.436650861843624,67.20069100816686,36.36363636363637,-10.995509344187832,132,1.694842976953752
options_iron_condor,6271.804508859621,62.71804508859622,65.3611884568084,50.0,-7.189058394543414,84,1.7025085649568938
rsi_mr,5428.743277458929,54.28743277458929,101.38109128263629,85.0,-5.301982540840349,20,8.205117516174173
bollinger,5416.204684217944,54.16204684217944,100.86666567011731,80.76923076923077,-5.073091247367494,26,6.347594606973478
vwap_bands,2701.3595145613835,27.013595145613834,78.17454139498247,90.0,-2.1931056910851723,10,14.281919117635816
fvg,902.0572147401272,9.020572147401262,51.037845301888005,62.5,-2.014400278454294,8,9.731995002620073
macd_divergence,287.8485882059995,2.878485882059989,34.31191027859084,100.0,-1.3432119342992712,1,287848588206.00085
price_action_engulfing,287.8485882059995,2.878485882059989,49.96929201418839,100.0,-0.07001000000000203,1,287848588206.00104
bb_ha_supertrend,-494.3797772742728,-4.94379777274273,-24.759123949552606,33.33333333333333,-6.788887831394495,12,0.5609046827532125
keltner_squeeze,-933.474008391915,-9.334740083919147,-72.14537777752783,0.0,-9.33474008391915,6,0.0
momentum_breakout,-953.7586619101912,-9.537586619101912,-42.18322957225124,25.0,-16.452467649509817,20,0.45042408428054925
turtle,-1648.5316013937427,-16.485316013937425,-75.25121315874537,5.263157894736842,-16.830730814541894,19,0.12715159549535626
smc_bos_retest,-2281.6568762216384,-22.816568762216384,-104.68142976997986,8.695652173913043,-24.30129438158259,23,0.0950168556330599
ichimoku_cloud,-2666.4914680312013,-26.664914680312013,-93.81265851789259,8.0,-27.262070166513645,25,0.1393759020902447
supertrend_mom,-3004.6156530873886,-30.04615653087389,-96.79935841752453,16.666666666666664,-31.605233202183353,42,0.22717927099147547
supertrend_mom_v2,-3004.6156530873886,-30.04615653087389,-96.79935841752453,16.666666666666664,-31.605233202183353,42,0.22717927099147547
macd,-3223.5515521012476,-32.23551552101248,-92.34644744875715,19.607843137254903,-34.81825674774694,51,0.3058313231777228
ema3,-4189.090717945866,-41.89090717945866,-96.86396794134629,17.647058823529413,-42.75978142573293,68,0.3732584614984625
ema_cross,-5578.271468551237,-55.78271468551237,-196.35317566478864,3.389830508474576,-55.984309093508536,59,0.04495584367787786
vwap,-7577.705537489988,-75.77705537489989,-275.51368680064814,2.127659574468085,-76.27365381187036,94,0.009785509619676698
