strategy,pnl,return_pct,sharpe,winrate,dd,trades,pf
grid,2797.669154149311,27.976691541493114,82.33133591526509,78.04878048780488,-5.150686485428854,41,2.7031756177118935
bollinger,781.6451901853507,7.816451901853516,41.34042604457756,72.22222222222221,-2.609309657647727,18,2.4449348708104237
vwap_bands,706.321138364061,7.063211383640611,31.366492777205178,71.42857142857143,-2.1301756175153495,7,5.140455836174353
rsi_mr,640.4428356012413,6.404428356012404,25.75287441893257,70.0,-5.3495276871785995,10,2.207210004583347
macd_divergence,299.1958740501268,2.991958740501266,23.24977851563926,100.0,-2.539577379004437,2,299195874050.12634
options_iron_condor,7.783971881512116,0.0778397188151203,1.4674378483702177,40.0,-6.914806468239309,10,1.007951391734586
rsi_divergence,-14.0,-0.13999999999999568,-39.84865542776421,0.0,-0.13999999999999999,1,0.0
fvg,-93.30189491523743,-0.9330189491523755,-5.463662066953275,33.33333333333333,-6.401903088074268,9,0.8634483973569362
smc_liquidity_sweep,-161.92639380299988,-1.6192639380300022,-23.23030041370066,0.0,-1.92131932084138,1,0.0
sma_rsi,-161.9263938030017,-1.6192639380300133,-13.831686688152567,0.0,-3.6479881963706995,1,0.0
price_action_pinbar,-162.07359379699847,-1.620735937969986,-27.7845716182516,0.0,-1.976473542182314,1,0.0
bb_ha_supertrend,-286.4962450373823,-2.8649624503738202,-41.7426304892846,28.57142857142857,-3.529695282016073,7,0.17248059959547296
move_volatility_straddle,-290.4690445236338,-2.9046904452363353,-8.060154028243707,25.0,-5.673421169609291,8,0.6586938945289721
keltner_squeeze,-437.81768743838256,-4.378176874383821,-23.202400120350713,0.0,-4.378176874383826,3,0.0
price_action_engulfing,-478.24053248344353,-4.782405324834437,-23.28684478939949,0.0,-5.443582346988425,3,0.0
ichimoku_cloud,-511.41685337606395,-5.114168533760644,-15.021002185951346,16.666666666666664,-9.557109477720882,12,0.5092667724856886
momentum_breakout,-593.0475099774521,-5.930475099774524,-20.276002595986395,16.666666666666664,-11.688570977286473,12,0.4668507498541448
turtle,-666.1200672852956,-6.661200672852951,-23.383642349155355,11.11111111111111,-9.116990464216107,9,0.28385788499949344
smc_bos_retest,-696.759231161408,-6.967592311614079,-25.583126610846048,15.384615384615385,-9.684423966180475,13,0.430587400492222
supertrend_mom,-778.1987071488256,-7.7819870714882615,-42.505095776951165,0.0,-7.85447983346959,7,0.0
supertrend_mom_v2,-778.1987071488256,-7.7819870714882615,-42.505095776951165,0.0,-7.85447983346959,7,0.0
smc_choch_bos,-1400.966707465861,-14.009667074658605,-46.29610006057135,18.88888888888889,-15.23021251744931,90,0.48765233362108695
ema3,-2119.311400881287,-21.193114008812874,-78.78109350413136,6.25,-22.31169771799077,32,0.1377646477348246
vwap,-2244.112456551112,-22.441124565511117,-87.68769826744786,10.344827586206897,-24.38677347674129,29,0.19726625381654786
macd,-2574.7970538811232,-25.747970538811238,-96.91236459777491,12.0,-26.755680156108486,75,0.2718186419935435
ema_cross,-2984.174298423265,-29.841742984232656,-114.36858327880745,3.1746031746031744,-32.50614685477678,63,0.11611379532114086
