strategy,pnl,return_pct,sharpe,winrate,dd,trades,pf
smc_liquidity_sweep,55.7128934433058,0.5571289344330488,8.025720077156842,55.55555555555556,-1.883499077044605,9,1.4230885435945377
price_action_pinbar,20.441873782336188,0.20441873782335307,2.55252491445801,45.45454545454545,-2.8652941528533873,11,1.0682934779544682
rsi_mr,19.456320408393367,0.19456320408393069,2.4610813891201206,54.54545454545454,-2.8331524991078316,11,1.0595736697616622
rsi_divergence,-21.47060468842028,-0.21470604688420547,-37.401639618176674,0.0,-0.21470604688420283,1,0.0
fvg,-30.34595405132677,-0.3034595405132623,-9.181539315992444,0.0,-0.6853595446185555,1,0.0
macd_divergence,-64.18719863121805,-0.6418719863121813,-7.846448826097998,40.0,-1.6859831389014428,10,0.5664754202099934
grid,-68.19296264760487,-0.6819296264760522,-7.3584733570510386,38.46153846153847,-2.688360415294968,13,0.771822340357585
smc_ob,-123.91658202776307,-1.2391658202776323,-13.429076114068286,61.53846153846154,-2.932801551620638,13,0.5860538596059577
bollinger,-129.88918821676089,-1.2988918821676076,-13.508450914288808,53.125,-2.609278055461529,32,0.7439789049915078
vwap_bands,-155.1066747825189,-1.5510667478251916,-16.764934245582104,40.0,-4.204965916819804,15,0.6477594534862534
keltner_squeeze,-248.46062086438178,-2.4846062086438137,-41.42736276580811,16.666666666666664,-2.4846062086438176,6,0.02049000137676452
smc_ob_fvg,-284.24121935627045,-2.8424121935627045,-33.56525365794278,27.27272727272727,-3.4083672470521638,11,0.2692037894215083
move_volatility_straddle,-526.0689394620804,-5.260689394620799,-41.20243687456309,33.33333333333333,-6.8307813361442,21,0.305843591299068
options_iron_condor,-700.9037717786941,-7.009037717786937,-52.219238663177954,29.166666666666668,-7.10084513370415,24,0.2829608029022325
supertrend_mom,-719.2312313141229,-7.192312313141224,-68.3500821490787,16.666666666666664,-7.665682810025755,24,0.24939122239492725
supertrend_mom_v2,-719.2312313141229,-7.192312313141224,-68.3500821490787,16.666666666666664,-7.665682810025755,24,0.24939122239492725
price_action_engulfing,-807.0187303382645,-8.070187303382648,-81.05666993622198,13.636363636363635,-8.346329062256336,22,0.22021664010781158
momentum_breakout,-819.8302906544031,-8.198302906544031,-75.07459338013432,17.857142857142858,-8.66654229544676,28,0.23899565247548588
time_breakout,-865.7457458170957,-8.657457458170958,-97.28903367257588,11.76470588235294,-8.803618369288767,17,0.06987377011780498
macd,-874.000306724578,-8.740003067245784,-70.54687465093852,20.754716981132077,-9.846060438316334,53,0.3315911457258026
turtle,-907.1008794644658,-9.071008794644664,-85.7209618876491,12.5,-9.39786197522997,24,0.10562119975472942
vwap,-983.165064658233,-9.831650646582336,-75.32643226014208,14.285714285714285,-10.367436529687925,28,0.191828444187075
smc_bos_retest,-1091.2095662848078,-10.912095662848076,-100.012702295834,10.344827586206897,-11.515313577906236,29,0.11839761306491635
ichimoku_cloud,-1120.3570923497482,-11.203570923497486,-97.80715915781481,21.21212121212121,-11.794016729686149,33,0.1668033717651276
smc_choch_bos,-1151.4035949978206,-11.514035949978208,-97.94251426974873,17.391304347826086,-12.146295353478358,46,0.16018355085135288
ema_cross,-1254.2125421649398,-12.542125421649397,-110.07510292717096,6.976744186046512,-12.834314655735652,43,0.14026826284596527
ema3,-1328.0369606871263,-13.280369606871268,-114.47528949295531,12.121212121212121,-13.280369606871265,33,0.10147328120091849
