ts,equity,cash,position_value
2026-07-27T04:50:00+00:00,10000.000000,10000.000000,0.000000
2026-07-27T04:55:00+00:00,10000.000000,10000.000000,0.000000
2026-07-27T05:00:00+00:00,10000.000000,10000.000000,0.000000
2026-07-27T05:05:00+00:00,10000.000000,10000.000000,0.000000
2026-07-27T05:10:00+00:00,10000.000000,10000.000000,0.000000
2026-07-27T05:15:00+00:00,10000.000000,10000.000000,0.000000
2026-07-27T05:20:00+00:00,10000.000000,10000.000000,0.000000
2026-07-27T05:25:00+00:00,10000.000000,10000.000000,0.000000
2026-07-27T05:30:00+00:00,10000.000000,10000.000000,0.000000
2026-07-27T05:35:00+00:00,10000.000000,10000.000000,0.000000
2026-07-27T05:40:00+00:00,10000.000000,10000.000000,0.000000
2026-07-27T05:45:00+00:00,10000.000000,10000.000000,0.000000
2026-07-27T05:50:00+00:00,10000.000000,10000.000000,0.000000
2026-07-27T05:55:00+00:00,10000.000000,10000.000000,0.000000
2026-07-27T06:00:00+00:00,9992.999000,-7.001000,10000.000000
2026-07-27T06:05:00+00:00,9995.975349,-7.001000,10002.976349
2026-07-27T06:10:00+00:00,10002.385948,-7.001000,10009.386948
2026-07-27T06:15:00+00:00,9998.875382,-7.001000,10005.876382
2026-07-27T06:20:00+00:00,9993.380583,-7.001000,10000.381583
2026-07-27T06:25:00+00:00,9986.054185,-7.001000,9993.055185
2026-07-27T06:30:00+00:00,9994.754283,-7.001000,10001.755283
2026-07-27T06:35:00+00:00,9989.106851,-7.001000,9996.107851
2026-07-27T06:40:00+00:00,9991.777934,-7.001000,9998.778934
2026-07-27T06:45:00+00:00,9980.177802,-7.001000,9987.178802
2026-07-27T06:50:00+00:00,9975.904070,-7.001000,9982.905070
2026-07-27T06:55:00+00:00,9974.377737,-7.001000,9981.378737
2026-07-27T07:00:00+00:00,9976.285653,-7.001000,9983.286653
2026-07-27T07:05:00+00:00,9975.369853,-7.001000,9982.370853
2026-07-27T07:10:00+00:00,9975.980386,-7.001000,9982.981386
2026-07-27T07:15:00+00:00,9976.667236,-7.001000,9983.668236
2026-07-27T07:20:00+00:00,9978.117253,-7.001000,9985.118253
2026-07-27T07:25:00+00:00,9973.232987,-7.001000,9980.233987
2026-07-27T07:30:00+00:00,9947.536125,-2.985356,9954.503282
2026-07-27T07:35:00+00:00,9960.491764,-2.985356,9941.547643
2026-07-27T07:40:00+00:00,9953.785316,-2.985356,9948.254092
2026-07-27T07:45:00+00:00,9951.194188,-2.985356,9950.845220
2026-07-27T07:50:00+00:00,9950.660721,-2.985356,9951.378687
2026-07-27T07:55:00+00:00,9963.997408,-2.985356,9938.042000
2026-07-27T08:00:00+00:00,9963.387731,-2.985356,9938.651677
2026-07-27T08:05:00+00:00,9968.112728,-2.985356,9933.926679
2026-07-27T08:10:00+00:00,9968.265148,-2.985356,9933.774260
2026-07-27T08:15:00+00:00,9960.872813,-2.985356,9941.166595
2026-07-27T08:20:00+00:00,9964.683295,-2.985356,9937.356113
2026-07-27T08:25:00+00:00,9961.787328,-2.985356,9940.252079
2026-07-27T08:30:00+00:00,9970.627647,-2.985356,9931.411761
2026-07-27T08:35:00+00:00,9972.913936,-2.985356,9929.125472
2026-07-27T08:40:00+00:00,9973.523613,-2.985356,9928.515795
2026-07-27T08:45:00+00:00,9967.198213,-2.985356,9934.841195
2026-07-27T08:50:00+00:00,9970.932485,-2.985356,9931.106923
2026-07-27T08:55:00+00:00,9973.294984,-2.985356,9928.744424
2026-07-27T09:00:00+00:00,9977.257885,-2.985356,9924.781522
2026-07-27T09:05:00+00:00,9980.611110,-2.985356,9921.428298
2026-07-27T09:10:00+00:00,9979.772803,-2.985356,9922.266604
2026-07-27T09:15:00+00:00,9977.181676,-2.985356,9924.857732
2026-07-27T09:20:00+00:00,9964.911924,-2.985356,9937.127484
2026-07-27T09:25:00+00:00,9963.463940,-2.985356,9938.575467
2026-07-27T09:30:00+00:00,9956.681282,-2.985356,9945.358125
2026-07-27T09:35:00+00:00,9934.064844,-6.959711,9941.024556
2026-07-27T09:40:00+00:00,9930.259347,-6.959711,9937.219058
2026-07-27T09:45:00+00:00,9930.868227,-6.959711,9937.827938
2026-07-27T09:50:00+00:00,9925.007761,-6.959711,9931.967472
2026-07-27T09:55:00+00:00,9924.094441,-6.959711,9931.054153
2026-07-27T10:00:00+00:00,9922.267803,-6.959711,9929.227514
2026-07-27T10:05:00+00:00,9924.703321,-6.959711,9931.663032
2026-07-27T10:10:00+00:00,9923.028902,-6.959711,9929.988613
2026-07-27T10:15:00+00:00,9926.529960,-6.959711,9933.489671
2026-07-27T10:20:00+00:00,9942.893598,-6.959711,9949.853309
2026-07-27T10:25:00+00:00,9937.565902,-6.959711,9944.525613
2026-07-27T10:30:00+00:00,9936.272033,-6.959711,9943.231744
2026-07-27T10:35:00+00:00,9945.100787,-6.959711,9952.060498
2026-07-27T10:40:00+00:00,9946.318546,-6.959711,9953.278257
2026-07-27T10:45:00+00:00,9939.011991,-6.959711,9945.971702
2026-07-27T10:50:00+00:00,9938.707551,-6.959711,9945.667262
2026-07-27T10:55:00+00:00,9936.195923,-6.959711,9943.155634
2026-07-27T11:00:00+00:00,9928.584928,-6.959711,9935.544640
2026-07-27T11:05:00+00:00,9932.238206,-6.959711,9939.197917
2026-07-27T11:10:00+00:00,9909.366650,-2.973900,9916.307073
2026-07-27T11:15:00+00:00,9909.974676,-2.973900,9915.699046
2026-07-27T11:20:00+00:00,9920.615143,-2.973900,9905.058580
2026-07-27T11:25:00+00:00,9929.051513,-2.973900,9896.622209
2026-07-27T11:30:00+00:00,9918.031030,-2.973900,9907.642693
2026-07-27T11:35:00+00:00,9918.791063,-2.973900,9906.882660
2026-07-27T11:40:00+00:00,9924.339307,-2.973900,9901.334416
2026-07-27T11:45:00+00:00,9925.707367,-2.973900,9899.966356
2026-07-27T11:50:00+00:00,9930.343570,-2.973900,9895.330153
2026-07-27T11:55:00+00:00,9933.155694,-2.973900,9892.518029
2026-07-27T12:00:00+00:00,9917.347000,-2.973900,9908.326723
2026-07-27T12:05:00+00:00,9913.850847,-2.973900,9911.822876
2026-07-27T12:10:00+00:00,9934.903770,-2.973900,9890.769953
2026-07-27T12:15:00+00:00,9937.791897,-2.973900,9887.881826
2026-07-27T12:20:00+00:00,9939.767984,-2.973900,9885.905739
2026-07-27T12:25:00+00:00,9946.684287,-2.973900,9878.989436
2026-07-27T12:30:00+00:00,9966.977177,-2.973900,9858.696545
2026-07-27T12:35:00+00:00,9951.624504,-2.973900,9874.049219
2026-07-27T12:40:00+00:00,9940.756027,-2.973900,9884.917696
2026-07-27T12:45:00+00:00,9935.739807,-2.973900,9889.933916
2026-07-27T12:50:00+00:00,9935.815810,-2.973900,9889.857913
2026-07-27T12:55:00+00:00,9934.447750,-2.973900,9891.225973
2026-07-27T13:00:00+00:00,9935.663804,-2.973900,9890.009919
2026-07-27T13:05:00+00:00,9940.148000,-2.973900,9885.525723
2026-07-27T13:10:00+00:00,9952.840557,-2.973900,9872.833166
2026-07-27T13:15:00+00:00,9944.252180,-2.973900,9881.421543
2026-07-27T13:20:00+00:00,9954.968651,-2.973900,9870.705072
2026-07-27T13:25:00+00:00,9956.032697,-2.973900,9869.641026
2026-07-27T13:30:00+00:00,9934.979774,-2.973900,9890.693949
2026-07-27T13:35:00+00:00,9868.738395,-6.913944,9875.652340
2026-07-27T13:40:00+00:00,9903.764864,-6.913944,9910.678808
2026-07-27T13:45:00+00:00,9895.838615,-6.913944,9902.752560
2026-07-27T13:50:00+00:00,9868.285467,-6.913944,9875.199411
2026-07-27T13:55:00+00:00,9836.203034,-6.913944,9843.116978
2026-07-27T14:00:00+00:00,9852.206506,-6.913944,9859.120450
2026-07-27T14:05:00+00:00,9862.095444,-6.913944,9869.009389
2026-07-27T14:10:00+00:00,9857.566160,-6.913944,9864.480104
2026-07-27T14:15:00+00:00,9832.353142,-6.913944,9839.267086
2026-07-27T14:20:00+00:00,9797.181180,-2.940233,9804.043029
2026-07-27T14:25:00+00:00,9824.017201,-2.940233,9777.207008
2026-07-27T14:30:00+00:00,9856.733026,-2.940233,9744.491183
2026-07-27T14:35:00+00:00,9855.451530,-2.940233,9745.772679
2026-07-27T14:40:00+00:00,9884.172104,-2.940233,9717.052105
2026-07-27T14:45:00+00:00,9863.894324,-2.940233,9737.329885
2026-07-27T14:50:00+00:00,9867.889574,-2.940233,9733.334635
2026-07-27T14:55:00+00:00,9851.305516,-2.940233,9749.918693
2026-07-27T15:00:00+00:00,9846.933355,-2.940233,9754.290854
2026-07-27T15:05:00+00:00,9864.421998,-2.940233,9736.802211
2026-07-27T15:10:00+00:00,9845.953388,-2.940233,9755.270821
2026-07-27T15:15:00+00:00,9849.119435,-2.940233,9752.104774
2026-07-27T15:20:00+00:00,9861.029804,-2.940233,9740.194404
2026-07-27T15:25:00+00:00,9856.808408,-2.940233,9744.415801
2026-07-27T15:30:00+00:00,9868.492631,-2.940233,9732.731578
2026-07-27T15:35:00+00:00,9871.884824,-2.940233,9729.339384
2026-07-27T15:40:00+00:00,9868.944923,-2.940233,9732.279286
2026-07-27T15:45:00+00:00,9869.020305,-2.940233,9732.203904
2026-07-27T15:50:00+00:00,9869.171069,-2.940233,9732.053139
2026-07-27T15:55:00+00:00,9873.467848,-2.940233,9727.756361
