ts,equity,cash,position_value
2026-07-31T08:41:00+00:00,10000.000000,10000.000000,0.000000
2026-07-31T08:42:00+00:00,10000.000000,10000.000000,0.000000
2026-07-31T08:43:00+00:00,10000.000000,10000.000000,0.000000
2026-07-31T08:44:00+00:00,10000.000000,10000.000000,0.000000
2026-07-31T08:45:00+00:00,10000.000000,10000.000000,0.000000
2026-07-31T08:46:00+00:00,10000.000000,10000.000000,0.000000
2026-07-31T08:47:00+00:00,10000.000000,10000.000000,0.000000
2026-07-31T08:48:00+00:00,10000.000000,10000.000000,0.000000
2026-07-31T08:49:00+00:00,10000.000000,10000.000000,0.000000
2026-07-31T08:50:00+00:00,10000.000000,10000.000000,0.000000
2026-07-31T08:51:00+00:00,10000.000000,10000.000000,0.000000
2026-07-31T08:52:00+00:00,10000.000000,10000.000000,0.000000
2026-07-31T08:53:00+00:00,10000.000000,10000.000000,0.000000
2026-07-31T08:54:00+00:00,10000.000000,10000.000000,0.000000
2026-07-31T08:55:00+00:00,10000.000000,10000.000000,0.000000
2026-07-31T08:56:00+00:00,10000.000000,10000.000000,0.000000
2026-07-31T08:57:00+00:00,10000.000000,10000.000000,0.000000
2026-07-31T08:58:00+00:00,10000.000000,10000.000000,0.000000
2026-07-31T08:59:00+00:00,10000.000000,10000.000000,0.000000
2026-07-31T09:00:00+00:00,10000.000000,10000.000000,0.000000
2026-07-31T09:01:00+00:00,10000.000000,10000.000000,0.000000
2026-07-31T09:02:00+00:00,10000.000000,10000.000000,0.000000
2026-07-31T09:03:00+00:00,10000.000000,10000.000000,0.000000
2026-07-31T09:04:00+00:00,10000.000000,10000.000000,0.000000
2026-07-31T09:05:00+00:00,10000.000000,10000.000000,0.000000
2026-07-31T09:06:00+00:00,9993.001000,-2.999000,10000.000000
2026-07-31T09:07:00+00:00,9991.354587,-2.999000,10001.646413
2026-07-31T09:08:00+00:00,9994.804214,-2.999000,9998.196786
2026-07-31T09:09:00+00:00,9993.706606,-2.999000,9999.294394
2026-07-31T09:10:00+00:00,9989.159369,-2.999000,10003.841631
2026-07-31T09:11:00+00:00,9993.471404,-2.999000,9999.529596
2026-07-31T09:12:00+00:00,9993.549804,-2.999000,9999.451196
2026-07-31T09:13:00+00:00,9992.295394,-2.999000,10000.705606
2026-07-31T09:14:00+00:00,9991.981792,-2.999000,10001.019208
2026-07-31T09:15:00+00:00,9997.234634,-2.999000,9995.766366
2026-07-31T09:16:00+00:00,10000.292258,-2.999000,9992.708742
2026-07-31T09:17:00+00:00,9995.901823,-2.999000,9997.099177
2026-07-31T09:18:00+00:00,9998.881047,-2.999000,9994.119953
