trade_id,symbol,side,qty,entry_ts,entry_price,exit_ts,exit_price,pnl,fees,return_pct
1,BTCUSD,LONG,0.15661707126076743,2026-07-25T08:00:00+00:00,63862.77,2026-07-25T12:00:00+00:00,64082.181,24.344326,10.019182,0.3436
2,BTCUSD,SHORT,0.15568290367945525,2026-07-25T18:00:00+00:00,64376.6221,2026-07-27T11:00:00+00:00,65092.5159,-121.530491,10.078066,-1.1120
3,BTCUSD,LONG,0.1534772691178,2026-07-27T15:00:00+00:00,64535.9046,2026-07-28T15:00:00+00:00,63893.2188,-108.493137,9.855476,-0.9959
4,BTCUSD,SHORT,0.15205148993216913,2026-07-29T06:00:00+00:00,64401.6171,2026-07-29T14:00:00+00:00,64098.8172,36.271835,9.769341,0.4702
5,BTCUSD,SHORT,0.15228007517404885,2026-07-30T09:00:00+00:00,64543.0888,2026-07-31T01:00:00+00:00,64554.9084,-11.629416,9.829526,-0.0183
6,BTCUSD,LONG,0.15273280784277365,2026-07-31T04:00:00+00:00,64301.3577,2026-07-31T09:00:00+00:00,63641.7691,-110.511375,9.770557,-1.0258
