ts,equity,cash,position_value
2026-08-01T05:20:00+00:00,10000.000000,10000.000000,0.000000
2026-08-01T05:25:00+00:00,10000.000000,10000.000000,0.000000
2026-08-01T05:30:00+00:00,10000.000000,10000.000000,0.000000
2026-08-01T05:35:00+00:00,10000.000000,10000.000000,0.000000
2026-08-01T05:40:00+00:00,10000.000000,10000.000000,0.000000
2026-08-01T05:45:00+00:00,10000.000000,10000.000000,0.000000
2026-08-01T05:50:00+00:00,10000.000000,10000.000000,0.000000
2026-08-01T05:55:00+00:00,10000.000000,10000.000000,0.000000
2026-08-01T06:00:00+00:00,10000.000000,10000.000000,0.000000
2026-08-01T06:05:00+00:00,10000.000000,10000.000000,0.000000
2026-08-01T06:10:00+00:00,10000.000000,10000.000000,0.000000
2026-08-01T06:15:00+00:00,10000.000000,10000.000000,0.000000
2026-08-01T06:20:00+00:00,10000.000000,10000.000000,0.000000
2026-08-01T06:25:00+00:00,10000.000000,10000.000000,0.000000
2026-08-01T06:30:00+00:00,10000.000000,10000.000000,0.000000
2026-08-01T06:35:00+00:00,10000.000000,10000.000000,0.000000
2026-08-01T06:40:00+00:00,10000.000000,10000.000000,0.000000
2026-08-01T06:45:00+00:00,10000.000000,10000.000000,0.000000
2026-08-01T06:50:00+00:00,10000.000000,10000.000000,0.000000
2026-08-01T06:55:00+00:00,9992.999000,-7.001000,10000.000000
2026-08-01T07:00:00+00:00,9992.840415,-7.001000,9999.841415
2026-08-01T07:05:00+00:00,9994.029805,-7.001000,10001.030805
2026-08-01T07:10:00+00:00,9994.267683,-7.001000,10001.268683
2026-08-01T07:15:00+00:00,9997.915148,-7.001000,10004.916148
2026-08-01T07:20:00+00:00,9991.095975,-7.001000,9998.096975
2026-08-01T07:25:00+00:00,9993.554049,-7.001000,10000.555049
2026-08-01T07:30:00+00:00,9991.095975,-7.001000,9998.096975
2026-08-01T07:35:00+00:00,9973.072167,-2.993019,9980.057209
2026-08-01T07:40:00+00:00,9973.072167,-2.993019,9980.057209
2026-08-01T07:45:00+00:00,9973.072167,-2.993019,9980.057209
2026-08-01T07:50:00+00:00,9972.359532,-2.993019,9980.769844
2026-08-01T07:55:00+00:00,9971.963624,-2.993019,9981.165752
2026-08-01T08:00:00+00:00,9972.201169,-2.993019,9980.928207
2026-08-01T08:05:00+00:00,9966.895997,-2.993019,9986.233379
2026-08-01T08:10:00+00:00,9966.500089,-2.993019,9986.629287
2026-08-01T08:15:00+00:00,9949.764441,-6.970710,9956.735151
2026-08-01T08:20:00+00:00,9949.606595,-6.970710,9956.577306
