ts,equity,cash,position_value
2026-06-23T08:00:00+00:00,10000.000000,10000.000000,0.000000
2026-06-23T09:00:00+00:00,10000.000000,10000.000000,0.000000
2026-06-23T10:00:00+00:00,10000.000000,10000.000000,0.000000
2026-06-23T11:00:00+00:00,10000.000000,10000.000000,0.000000
2026-06-23T12:00:00+00:00,10000.000000,10000.000000,0.000000
2026-06-23T13:00:00+00:00,10000.000000,10000.000000,0.000000
2026-06-23T14:00:00+00:00,10000.000000,10000.000000,0.000000
2026-06-23T15:00:00+00:00,10000.000000,10000.000000,0.000000
2026-06-23T16:00:00+00:00,10000.000000,10000.000000,0.000000
2026-06-23T17:00:00+00:00,10000.000000,10000.000000,0.000000
2026-06-23T18:00:00+00:00,10000.000000,10000.000000,0.000000
2026-06-23T19:00:00+00:00,10000.000000,10000.000000,0.000000
2026-06-23T20:00:00+00:00,10000.000000,10000.000000,0.000000
2026-06-23T21:00:00+00:00,9992.999000,-7.001000,10000.000000
2026-06-23T22:00:00+00:00,10345.650981,-7.001000,10352.651981
2026-06-23T23:00:00+00:00,11120.445346,-7.001000,11127.446346
2026-06-24T00:00:00+00:00,10915.283202,-7.001000,10922.284202
2026-06-24T01:00:00+00:00,11011.246140,-7.001000,11018.247140
2026-06-24T02:00:00+00:00,10830.192911,-7.001000,10837.193911
2026-06-24T03:00:00+00:00,10679.551322,-3.205041,10687.031175
2026-06-24T04:00:00+00:00,10486.941166,-3.205041,10879.641332
2026-06-24T05:00:00+00:00,9556.464161,-3.205041,11810.118337
2026-06-24T06:00:00+00:00,9255.746833,-3.205041,12110.835665
2026-06-24T07:00:00+00:00,9553.159575,-3.205041,11813.422923
2026-06-24T08:00:00+00:00,10142.473481,-7.105720,10149.579202
2026-06-24T09:00:00+00:00,9716.297165,-7.105720,9723.402885
2026-06-24T10:00:00+00:00,9081.521006,-7.105720,9088.626726
2026-06-24T11:00:00+00:00,8208.222896,-7.105720,8215.328617
2026-06-24T12:00:00+00:00,8367.237530,-7.105720,8374.343251
2026-06-24T13:00:00+00:00,7555.066014,-7.105720,7562.171734
2026-06-24T14:00:00+00:00,7356.725180,-7.105720,7363.830901
2026-06-24T15:00:00+00:00,7519.586942,-7.105720,7526.692663
