trade_id,symbol,side,qty,entry_ts,entry_price,exit_ts,exit_price,pnl,fees,return_pct
1,BTCUSD,LONG,0.15584456063522242,2026-07-25T04:30:00+00:00,64179.3333,2026-07-25T05:45:00+00:00,63982.7009,-40.630768,9.986678,-0.3064
2,BTCUSD,SHORT,0.15562608671016465,2026-07-25T05:45:00+00:00,63982.7009,2026-07-25T11:00:00+00:00,64061.3097,-22.197074,9.963494,-0.1229
3,BTCUSD,LONG,0.15515073979854618,2026-07-25T11:00:00+00:00,64061.3097,2026-07-26T06:00:00+00:00,64317.134,29.732324,9.959005,0.3993
4,BTCUSD,SHORT,0.15493400407482527,2026-07-26T06:00:00+00:00,64317.134,2026-07-26T09:00:00+00:00,64487.895,-36.434825,9.978139,-0.2655
5,BTCUSD,LONG,0.15402046773508674,2026-07-26T09:00:00+00:00,64487.895,2026-07-26T13:15:00+00:00,64432.6109,-18.443081,9.928198,-0.0857
6,BTCUSD,SHORT,0.15380478972107786,2026-07-26T13:15:00+00:00,64432.6109,2026-07-26T13:30:00+00:00,64553.9082,-28.575478,9.919372,-0.1883
7,BTCUSD,LONG,0.15313445868557932,2026-07-26T13:30:00+00:00,64553.9082,2026-07-26T20:45:00+00:00,64614.0746,-0.676485,9.890035,0.0932
8,BTCUSD,SHORT,0.1529202131084259,2026-07-26T20:45:00+00:00,64614.0746,2026-07-26T21:15:00+00:00,64807.4589,-39.467953,9.895584,-0.2993
9,BTCUSD,LONG,0.15191577464057285,2026-07-26T21:15:00+00:00,64807.4589,2026-07-27T08:00:00+00:00,65160.9652,43.831056,9.872127,0.5455
10,BTCUSD,SHORT,0.15170371185504092,2026-07-27T08:00:00+00:00,65160.9652,2026-07-27T10:30:00+00:00,65400.5775,-46.253411,9.903335,-0.3677
11,BTCUSD,LONG,0.15050100257385216,2026-07-27T10:30:00+00:00,65400.5775,2026-07-27T11:15:00+00:00,65093.4787,-56.038420,9.819743,-0.4696
12,BTCUSD,SHORT,0.1502898464111036,2026-07-27T11:15:00+00:00,65093.4787,2026-07-27T14:00:00+00:00,65351.0676,-48.515242,9.802245,-0.3957
13,BTCUSD,LONG,0.14901482512063446,2026-07-27T14:00:00+00:00,65351.0676,2026-07-27T14:15:00+00:00,64838.0298,-86.150291,9.700053,-0.7850
14,BTCUSD,SHORT,0.14880542093250532,2026-07-27T14:15:00+00:00,64838.0298,2026-07-27T19:15:00+00:00,64991.4957,-32.496226,9.659669,-0.2367
15,BTCUSD,LONG,0.1480133294312714,2026-07-27T19:15:00+00:00,64991.4957,2026-07-27T21:15:00+00:00,64793.5387,-38.905232,9.604958,-0.3046
16,BTCUSD,SHORT,0.1478058357459467,2026-07-27T21:15:00+00:00,64793.5387,2026-07-28T07:00:00+00:00,63573.7122,170.810761,9.486714,1.8826
17,BTCUSD,LONG,0.15338949442529856,2026-07-28T07:00:00+00:00,63573.7122,2026-07-28T08:00:00+00:00,63397.8179,-36.718387,9.738049,-0.2767
18,BTCUSD,SHORT,0.15317449425588647,2026-07-28T08:00:00+00:00,63397.8179,2026-07-28T12:45:00+00:00,63539.7054,-31.455342,9.721795,-0.2238
19,BTCUSD,LONG,0.15239844359866464,2026-07-28T12:45:00+00:00,63539.7054,2026-07-28T13:15:00+00:00,63275.8423,-49.875572,9.663246,-0.4153
20,BTCUSD,SHORT,0.15218468370529326,2026-07-28T13:15:00+00:00,63275.8423,2026-07-28T15:15:00+00:00,63741.7458,-80.568443,9.665066,-0.7363
21,BTCUSD,LONG,0.14986853570843353,2026-07-28T15:15:00+00:00,63741.7458,2026-07-28T23:15:00+00:00,63600.2774,-30.743943,9.542281,-0.2219
22,BTCUSD,SHORT,0.1496585284286259,2026-07-28T23:15:00+00:00,63600.2774,2026-07-28T23:45:00+00:00,63922.2819,-57.733139,9.542419,-0.5063
23,BTCUSD,LONG,0.1480608490135213,2026-07-28T23:45:00+00:00,63922.2819,2026-07-29T01:45:00+00:00,63675.2624,-46.020017,9.446100,-0.3864
24,BTCUSD,SHORT,0.1478532033156355,2026-07-29T01:45:00+00:00,63675.2624,2026-07-29T02:15:00+00:00,64020.3015,-60.455235,9.440099,-0.5419
25,BTCUSD,LONG,0.14617067652190982,2026-07-29T02:15:00+00:00,64020.3015,2026-07-29T03:30:00+00:00,63743.2488,-49.834623,9.337642,-0.4328
26,BTCUSD,SHORT,0.1459656338947523,2026-07-29T03:30:00+00:00,63743.2488,2026-07-29T05:00:00+00:00,63994.7964,-46.039987,9.322682,-0.3946
27,BTCUSD,LONG,0.14473047055945543,2026-07-29T05:00:00+00:00,63994.7964,2026-07-29T12:45:00+00:00,64241.1492,26.374932,9.279824,0.3850
28,BTCUSD,SHORT,0.14452827683300734,2026-07-29T12:45:00+00:00,64241.1492,2026-07-29T13:45:00+00:00,64654.4283,-69.045044,9.314528,-0.6433
29,BTCUSD,LONG,0.14259376492810688,2026-07-29T13:45:00+00:00,64654.4283,2026-07-29T14:00:00+00:00,64230.1514,-69.688309,9.189069,-0.6562
30,BTCUSD,SHORT,0.14239351441132725,2026-07-29T14:00:00+00:00,64230.1514,2026-07-29T18:30:00+00:00,64400.3775,-33.397169,9.158077,-0.2650
31,BTCUSD,LONG,0.14155526114801836,2026-07-29T18:30:00+00:00,64400.3775,2026-07-29T19:30:00+00:00,63847.7279,-87.307555,9.077097,-0.8581
32,BTCUSD,SHORT,0.14135626594985734,2026-07-29T19:30:00+00:00,63847.7279,2026-07-29T23:15:00+00:00,64000.2975,-30.602729,9.036060,-0.2390
33,BTCUSD,LONG,0.14059744626681145,2026-07-29T23:15:00+00:00,64000.2975,2026-07-30T00:45:00+00:00,63657.266,-57.203517,8.974164,-0.5360
34,BTCUSD,SHORT,0.1404001189947566,2026-07-30T00:45:00+00:00,63657.266,2026-07-30T01:45:00+00:00,64264.8504,-94.285062,8.980140,-0.9545
