ts,equity,cash,position_value
2026-04-09T08:00:00+00:00,10000.000000,10000.000000,0.000000
2026-04-09T09:00:00+00:00,10000.000000,10000.000000,0.000000
2026-04-09T10:00:00+00:00,10000.000000,10000.000000,0.000000
2026-04-09T11:00:00+00:00,10000.000000,10000.000000,0.000000
2026-04-09T12:00:00+00:00,10000.000000,10000.000000,0.000000
2026-04-09T13:00:00+00:00,10000.000000,10000.000000,0.000000
2026-04-09T14:00:00+00:00,10000.000000,10000.000000,0.000000
2026-04-09T15:00:00+00:00,10000.000000,10000.000000,0.000000
2026-04-09T16:00:00+00:00,10000.000000,10000.000000,0.000000
2026-04-09T17:00:00+00:00,10000.000000,10000.000000,0.000000
2026-04-09T18:00:00+00:00,10000.000000,10000.000000,0.000000
2026-04-09T19:00:00+00:00,10000.000000,10000.000000,0.000000
2026-04-09T20:00:00+00:00,10000.000000,10000.000000,0.000000
2026-04-09T21:00:00+00:00,10000.000000,10000.000000,0.000000
2026-04-09T22:00:00+00:00,10000.000000,10000.000000,0.000000
2026-04-09T23:00:00+00:00,10000.000000,10000.000000,0.000000
2026-04-10T00:00:00+00:00,9993.001000,-2.999000,10000.000000
2026-04-10T01:00:00+00:00,10025.052282,-2.999000,9967.948718
2026-04-10T02:00:00+00:00,10391.861399,-2.999000,9601.139601
2026-04-10T03:00:00+00:00,10520.066527,-2.999000,9472.934473
2026-04-10T04:00:00+00:00,10131.889889,-2.999000,9861.111111
2026-04-10T05:00:00+00:00,10473.770231,-2.999000,9519.230769
2026-04-10T06:00:00+00:00,10302.830060,-2.999000,9690.170940
2026-04-10T07:00:00+00:00,9583.456840,-2.999000,10409.544160
2026-04-10T08:00:00+00:00,9227.331484,-2.999000,10765.669516
2026-04-10T09:00:00+00:00,9355.536613,-2.999000,10637.464387
2026-04-10T10:00:00+00:00,8824.909832,-2.999000,11168.091168
2026-04-10T11:00:00+00:00,8878.328635,-2.999000,11114.672365
2026-04-10T12:00:00+00:00,9067.075074,-2.999000,10925.925926
2026-04-10T13:00:00+00:00,8864.083621,-2.999000,11128.917379
2026-04-10T14:00:00+00:00,9131.177638,-2.999000,10861.823362
2026-04-10T15:00:00+00:00,8945.992453,-2.999000,11047.008547
2026-04-10T16:00:00+00:00,9163.228920,-2.999000,10829.772080
2026-04-10T17:00:00+00:00,9238.015245,-2.999000,10754.985755
2026-04-10T18:00:00+00:00,9376.904134,-2.999000,10616.096866
2026-04-10T19:00:00+00:00,9494.425501,-2.999000,10498.575499
2026-04-10T20:00:00+00:00,9341.291598,-2.999000,10651.709402
2026-04-10T21:00:00+00:00,9291.434048,-2.999000,10701.566952
2026-04-10T22:00:00+00:00,9220.208977,-2.999000,10772.792023
2026-04-10T23:00:00+00:00,9127.616385,-2.999000,10865.384615
2026-04-11T00:00:00+00:00,9216.647724,-2.999000,10776.353276
2026-04-11T01:00:00+00:00,9376.904134,-2.999000,10616.096866
2026-04-11T02:00:00+00:00,9327.046584,-2.999000,10665.954416
2026-04-11T03:00:00+00:00,9366.220373,-2.999000,10626.780627
2026-04-11T04:00:00+00:00,9273.627781,-2.999000,10719.373219
2026-04-11T05:00:00+00:00,8903.257410,-2.999000,11089.743590
2026-04-11T06:00:00+00:00,9088.442595,-2.999000,10904.558405
2026-04-11T07:00:00+00:00,9038.585046,-2.999000,10954.415954
2026-04-11T08:00:00+00:00,9651.373634,-6.761661,9658.135295
2026-04-11T09:00:00+00:00,10147.601965,-6.761661,10154.363626
2026-04-11T10:00:00+00:00,9974.421608,-6.761661,9981.183269
2026-04-11T11:00:00+00:00,10167.584314,-6.761661,10174.345974
2026-04-11T12:00:00+00:00,10427.354849,-6.761661,10434.116510
2026-04-11T13:00:00+00:00,10237.522535,-6.761661,10244.284196
2026-04-11T14:00:00+00:00,10310.791148,-6.761661,10317.552808
2026-04-11T15:00:00+00:00,10117.628442,-6.761661,10124.390102
2026-04-11T16:00:00+00:00,10130.950008,-6.761661,10137.711668
2026-04-11T17:00:00+00:00,10237.522535,-6.761661,10244.284196
2026-04-11T18:00:00+00:00,10174.245097,-6.761661,10181.006757
2026-04-11T19:00:00+00:00,10214.209795,-6.761661,10220.971455
2026-04-11T20:00:00+00:00,10317.451931,-6.761661,10324.213591
2026-04-11T21:00:00+00:00,10364.077411,-6.761661,10370.839072
2026-04-11T22:00:00+00:00,10317.451931,-6.761661,10324.213591
2026-04-11T23:00:00+00:00,10387.390152,-6.761661,10394.151812
2026-04-12T00:00:00+00:00,10174.245097,-6.761661,10181.006757
2026-04-12T01:00:00+00:00,10097.646093,-6.761661,10104.407753
2026-04-12T02:00:00+00:00,10011.055914,-6.761661,10017.817575
2026-04-12T03:00:00+00:00,9917.804953,-6.761661,9924.566613
2026-04-12T04:00:00+00:00,9631.391285,-6.761661,9638.152946
2026-04-12T05:00:00+00:00,9658.034417,-6.761661,9664.796078
2026-04-12T06:00:00+00:00,10047.690221,-6.761661,10054.451881
2026-04-12T07:00:00+00:00,10213.215143,-3.065088,10220.368379
2026-04-12T08:00:00+00:00,10123.416918,-3.065088,10310.166604
2026-04-12T09:00:00+00:00,10043.596273,-3.065088,10389.987249
2026-04-12T10:00:00+00:00,9933.842887,-3.065088,10499.740635
2026-04-12T11:00:00+00:00,9681.077512,-3.065088,10752.506010
2026-04-12T12:00:00+00:00,9930.517026,-3.065088,10503.066495
2026-04-12T13:00:00+00:00,9800.808479,-3.065088,10632.775043
2026-04-12T14:00:00+00:00,9863.999823,-3.065088,10569.583699
2026-04-12T15:00:00+00:00,9830.741221,-3.065088,10602.842301
2026-04-12T16:00:00+00:00,9544.717244,-3.065088,10888.866278
2026-04-12T17:00:00+00:00,9470.551575,-6.634978,9477.186553
2026-04-12T18:00:00+00:00,9470.551575,-6.634978,9477.186553
2026-04-12T19:00:00+00:00,9436.005330,-6.634978,9442.640308
2026-04-12T20:00:00+00:00,9810.256318,-6.634978,9816.891296
2026-04-12T21:00:00+00:00,10596.183392,-6.634978,10602.818370
2026-04-12T22:00:00+00:00,11433.929834,-6.634978,11440.564812
2026-04-12T23:00:00+00:00,11261.198609,-6.634978,11267.833587
2026-04-13T00:00:00+00:00,10722.852957,-6.634978,10729.487936
2026-04-13T01:00:00+00:00,10291.024894,-6.634978,10297.659873
2026-04-13T02:00:00+00:00,10837.210860,-3.252356,10844.801137
2026-04-13T03:00:00+00:00,10460.575402,-3.252356,11221.436595
2026-04-13T04:00:00+00:00,10880.337058,-3.252356,10801.674939
2026-04-13T05:00:00+00:00,10612.954633,-3.252356,11069.057364
2026-04-13T06:00:00+00:00,11107.468365,-3.252356,10574.543632
2026-04-13T07:00:00+00:00,11032.716289,-3.252356,10649.295708
2026-04-13T08:00:00+00:00,10687.706709,-3.252356,10994.305288
2026-04-13T09:00:00+00:00,11015.465810,-3.252356,10666.546187
2026-04-13T10:00:00+00:00,10840.085940,-3.252356,10841.926057
2026-04-13T11:00:00+00:00,10423.199364,-3.252356,11258.812633
2026-04-13T12:00:00+00:00,10564.078276,-3.252356,11117.933721
2026-04-13T13:00:00+00:00,10753.833545,-3.252356,10928.178452
2026-04-13T14:00:00+00:00,10624.454953,-3.252356,11057.557044
