trade_id,symbol,side,qty,entry_ts,entry_price,exit_ts,exit_price,pnl,fees,return_pct
1,BTCUSD,SHORT,0.10368711376550123,2025-01-03T10:00:00+00:00,96424.7112,2025-01-03T11:00:00+00:00,96728.8419,-41.548202,10.013767,-0.3154
2,BTCUSD,LONG,0.10297283925873128,2025-01-03T11:00:00+00:00,96728.8419,2025-01-03T13:00:00+00:00,96445.2071,-39.152521,9.945840,-0.2932
3,BTCUSD,SHORT,0.10282849418672539,2025-01-03T13:00:00+00:00,96445.2071,2025-01-03T14:00:00+00:00,96983.3928,-65.285811,9.944986,-0.5580
4,BTCUSD,LONG,0.10162548437070831,2025-01-03T14:00:00+00:00,96983.3928,2025-01-05T09:00:00+00:00,97600.476,52.824039,9.887340,0.6363
5,BTCUSD,SHORT,0.10148368680249564,2025-01-05T09:00:00+00:00,97600.476,2025-01-05T20:00:00+00:00,98269.1499,-77.798279,9.938786,-0.6851
6,BTCUSD,LONG,0.10004162084422356,2025-01-05T20:00:00+00:00,98269.1499,2025-01-07T14:00:00+00:00,99923.5113,155.591238,9.913758,1.6835
7,BTCUSD,SHORT,0.09990274970878268,2025-01-07T14:00:00+00:00,99923.5113,2025-01-10T05:00:00+00:00,93943.2849,587.757148,9.683913,5.9848
8,BTCUSD,LONG,0.11256261799372867,2025-01-10T05:00:00+00:00,93943.2849,2025-01-11T06:00:00+00:00,94143.1676,11.913568,10.585752,0.2128
9,BTCUSD,SHORT,0.11240522909458536,2025-01-11T06:00:00+00:00,94143.1676,2025-01-11T11:00:00+00:00,94589.4141,-60.767705,10.607265,-0.4740
10,BTCUSD,LONG,0.11127712634909818,2025-01-11T11:00:00+00:00,94589.4141,2025-01-11T18:00:00+00:00,94215.1532,-52.151492,10.504815,-0.3957
11,BTCUSD,SHORT,0.11112106018098776,2025-01-11T18:00:00+00:00,94215.1532,2025-01-11T20:00:00+00:00,94569.9102,-49.909972,10.488998,-0.3765
12,BTCUSD,LONG,0.11022064296467411,2025-01-11T20:00:00+00:00,94569.9102,2025-01-12T08:00:00+00:00,94123.6715,-59.583680,10.398964,-0.4719
13,BTCUSD,SHORT,0.11006599923067731,2025-01-12T08:00:00+00:00,94123.6715,2025-01-12T14:00:00+00:00,94784.4531,-83.125768,10.396181,-0.7020
14,BTCUSD,LONG,0.1084652385599015,2025-01-12T14:00:00+00:00,94784.4531,2025-01-12T22:00:00+00:00,93890.7181,-107.171529,10.232349,-0.9429
15,BTCUSD,SHORT,0.10831269505254255,2025-01-12T22:00:00+00:00,93890.7181,2025-01-13T00:00:00+00:00,95295.5553,-162.407341,10.245638,-1.4962
16,BTCUSD,LONG,0.10505406574785206,2025-01-13T00:00:00+00:00,95295.5553,2025-01-13T02:00:00+00:00,94148.6665,-130.436274,9.950943,-1.2035
17,BTCUSD,SHORT,0.10490612388518636,2025-01-13T02:00:00+00:00,94148.6665,2025-01-13T22:00:00+00:00,94373.871,-33.513916,9.888584,-0.2392
18,BTCUSD,LONG,0.10434246733553837,2025-01-13T22:00:00+00:00,94373.871,2025-01-16T14:00:00+00:00,97560.484,322.485611,10.013452,3.3766
19,BTCUSD,SHORT,0.10419880217487855,2025-01-16T14:00:00+00:00,97560.484,2025-01-16T16:00:00+00:00,99328.8618,-194.520666,10.257817,-1.8126
20,BTCUSD,LONG,0.10042592766693173,2025-01-16T16:00:00+00:00,99328.8618,2025-01-19T22:00:00+00:00,103375.3208,396.191021,10.178378,4.0738
21,BTCUSD,SHORT,0.10028811048519036,2025-01-19T22:00:00+00:00,103375.3208,2025-01-20T07:00:00+00:00,107205.9369,-394.724649,10.559398,-3.7055
22,BTCUSD,LONG,0.09306070208700354,2025-01-20T07:00:00+00:00,107205.9369,2025-01-20T19:00:00+00:00,103653.7651,-340.378978,9.811376,-3.3134
23,BTCUSD,SHORT,0.0929282113272578,2025-01-20T19:00:00+00:00,103653.7651,2025-01-21T13:00:00+00:00,104448.8856,-83.558429,9.669304,-0.7671
24,BTCUSD,LONG,0.09145753452945714,2025-01-21T13:00:00+00:00,104448.8856,2025-01-21T14:00:00+00:00,103244.347,-119.661686,9.497555,-1.1532
25,BTCUSD,SHORT,0.09132877286345382,2025-01-21T14:00:00+00:00,103244.347,2025-01-21T15:00:00+00:00,103949.7858,-73.888253,9.461393,-0.6833
26,BTCUSD,LONG,0.0900343260963131,2025-01-21T15:00:00+00:00,103949.7858,2025-01-22T13:00:00+00:00,104027.1904,-2.393462,9.362533,0.0745
27,BTCUSD,SHORT,0.08990835013083981,2025-01-22T13:00:00+00:00,104027.1904,2025-01-23T15:00:00+00:00,105252.0462,-119.532740,9.407975,-1.1774
28,BTCUSD,LONG,0.08776169830988738,2025-01-23T15:00:00+00:00,105252.0462,2025-01-24T02:00:00+00:00,102947.4064,-211.395072,9.135969,-2.1896
29,BTCUSD,SHORT,0.08763748157906842,2025-01-24T02:00:00+00:00,102947.4064,2025-01-24T04:00:00+00:00,104601.4161,-154.047773,9.094528,-1.6067
30,BTCUSD,LONG,0.08481321499288938,2025-01-24T04:00:00+00:00,104601.4161,2025-01-25T01:00:00+00:00,104671.0616,-2.967677,8.874536,0.0666
31,BTCUSD,SHORT,0.08469453973089655,2025-01-25T01:00:00+00:00,104671.0616,2025-01-25T18:00:00+00:00,104956.4871,-33.051136,8.877154,-0.2727
32,BTCUSD,LONG,0.08418304213332028,2025-01-25T18:00:00+00:00,104956.4871,2025-01-26T01:00:00+00:00,104551.0856,-42.946424,8.818492,-0.3863
33,BTCUSD,SHORT,0.08406498100653802,2025-01-26T01:00:00+00:00,104551.0856,2025-01-26T03:00:00+00:00,105057.5073,-51.382702,8.810371,-0.4844
34,BTCUSD,LONG,0.08320403376001127,2025-01-26T03:00:00+00:00,105057.5073,2025-01-26T11:00:00+00:00,104754.5449,-33.936298,8.728605,-0.2884
35,BTCUSD,SHORT,0.083087403006796,2025-01-26T11:00:00+00:00,104754.5449,2025-01-26T12:00:00+00:00,104875.4709,-18.756234,8.708807,-0.1154
36,BTCUSD,LONG,0.08284592420582813,2025-01-26T12:00:00+00:00,104875.4709,2025-01-26T21:00:00+00:00,104479.5999,-41.468406,8.672107,-0.3775
37,BTCUSD,SHORT,0.08272974343294931,2025-01-26T21:00:00+00:00,104479.5999,2025-01-28T00:00:00+00:00,101833.3626,210.388424,8.534109,2.5328
38,BTCUSD,LONG,0.08697993357704187,2025-01-28T00:00:00+00:00,101833.3626,2025-01-28T21:00:00+00:00,100287.9384,-143.211143,8.790249,-1.5176
39,BTCUSD,SHORT,0.0868572480195724,2025-01-28T21:00:00+00:00,100287.9384,2025-01-29T06:00:00+00:00,102784.0527,-225.624756,8.819137,-2.4889
40,BTCUSD,LONG,0.08258624977115966,2025-01-29T06:00:00+00:00,102784.0527,2025-01-31T03:00:00+00:00,104266.1426,113.850497,8.549750,1.4419
41,BTCUSD,SHORT,0.0824714736779385,2025-01-31T03:00:00+00:00,104266.1426,2025-01-31T15:00:00+00:00,105428.0814,-104.473701,8.646896,-1.1144
42,BTCUSD,LONG,0.08060402890181945,2025-01-31T15:00:00+00:00,105428.0814,2025-01-31T18:00:00+00:00,102579.48,-237.991873,8.383124,-2.7019
43,BTCUSD,SHORT,0.0804896393872639,2025-01-31T18:00:00+00:00,102579.48,2025-02-01T00:00:00+00:00,102470.49,0.520367,8.252199,0.1062
