trade_id,symbol,side,qty,entry_ts,entry_price,exit_ts,exit_price,pnl,fees,return_pct
1,BTCUSD,SHORT,0.16540955405584226,2026-07-02T09:00:00+00:00,60443.9088,2026-07-02T09:20:00+00:00,60582.114,-32.869891,10.009430,-0.2287
2,BTCUSD,LONG,0.16455555735957655,2026-07-02T09:20:00+00:00,60582.114,2026-07-02T14:40:00+00:00,61394.7186,123.682620,10.035983,1.3413
3,BTCUSD,SHORT,0.1643267498705161,2026-07-02T14:40:00+00:00,61394.7186,2026-07-02T17:10:00+00:00,61774.3524,-72.503975,10.119987,-0.6183
4,BTCUSD,LONG,0.16220829562259625,2026-07-02T17:10:00+00:00,61774.3524,2026-07-02T19:05:00+00:00,61615.1745,-35.827378,10.007402,-0.2577
5,BTCUSD,SHORT,0.16198095616331898,2026-07-02T19:05:00+00:00,61615.1745,2026-07-02T23:30:00+00:00,61591.3158,-6.113898,9.978553,0.0387
6,BTCUSD,LONG,0.1620092479326003,2026-07-02T23:30:00+00:00,61591.3158,2026-07-03T00:25:00+00:00,61276.2423,-60.997661,9.952840,-0.5116
7,BTCUSD,SHORT,0.16178189737587892,2026-07-03T00:25:00+00:00,61276.2423,2026-07-03T01:10:00+00:00,61632.8241,-67.630711,9.942231,-0.5819
8,BTCUSD,LONG,0.15981271015594486,2026-07-03T01:10:00+00:00,61632.8241,2026-07-03T08:50:00+00:00,61557.686,-21.851728,9.843705,-0.1219
9,BTCUSD,SHORT,0.1595888805932296,2026-07-03T08:50:00+00:00,61557.686,2026-07-03T10:35:00+00:00,61819.8615,-51.685137,9.844842,-0.4259
10,BTCUSD,LONG,0.15813942064010428,2026-07-03T10:35:00+00:00,61819.8615,2026-07-03T14:10:00+00:00,61733.6508,-23.402651,9.769340,-0.1395
11,BTCUSD,SHORT,0.157917915178889,2026-07-03T14:10:00+00:00,61733.6508,2026-07-03T15:05:00+00:00,62318.9613,-102.226079,9.795065,-0.9481
