rank,symbol,score,regime,price,turnover_usd,open_interest,funding_pct,adx,atr_pct,bb_width_pct,ret_pct,rs_vs_btc,reason
1,BEATUSD,3.6409044619880113,unknown,0.982,49756793.91299979,0.0,0.030410349578451838,23.385606306302943,7.908163265306121,37.4497903922147,-49.0222521915037,-47.36040526649889,
2,VELVETUSD,3.2553834416308174,trend,0.728,8391514.43800003,0.0,0.004999999999999999,32.72951326083395,6.340145411672232,21.48335938865081,47.9145473041709,49.57639422917572,
3,NBISBUSD,2.8027415547321906,trend,250.9,11605537.970999978,0.0,0.01,78.80283135510402,1.493480612651598,17.90553691423581,17.188229799159277,18.850076724164097,
4,AVAAIUSD,1.8354781203390698,trend,0.01076,6023439.769299988,0.0,0.004999999999999999,35.03165758893834,4.810807222517261,13.417647686251307,20.627802690582953,22.289649615587773,
5,SPCXXUSD,1.6992426265530567,trend,146.9,4935476.37340001,0.0,0.01,54.699366911748186,1.0629193815034488,11.240924827450925,33.06159420289855,34.723441127903364,
