ts,equity,cash,position_value
2026-07-24T09:45:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T10:00:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T10:15:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T10:30:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T10:45:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T11:00:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T11:15:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T11:30:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T11:45:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T12:00:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T12:15:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T12:30:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T12:45:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T13:00:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T13:15:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T13:30:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T13:45:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T14:00:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T14:15:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T14:30:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T14:45:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T15:00:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T15:15:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T15:30:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T15:45:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T16:00:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T16:15:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T16:30:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T16:45:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T17:00:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T17:15:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T17:30:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T17:45:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T18:00:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T18:15:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T18:30:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T18:45:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T19:00:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T19:15:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T19:30:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T19:45:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T20:00:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T20:15:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T20:30:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T20:45:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T21:00:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T21:15:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T21:30:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T21:45:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T22:00:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T22:15:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T22:30:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T22:45:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T23:00:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T23:15:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T23:30:00+00:00,10000.000000,10000.000000,0.000000
2026-07-24T23:45:00+00:00,10000.000000,10000.000000,0.000000
2026-07-25T00:00:00+00:00,10000.000000,10000.000000,0.000000
2026-07-25T00:15:00+00:00,10000.000000,10000.000000,0.000000
2026-07-25T00:30:00+00:00,10000.000000,10000.000000,0.000000
2026-07-25T00:45:00+00:00,9992.999000,-7.001000,10000.000000
2026-07-25T01:00:00+00:00,9983.944352,-7.001000,9990.945352
2026-07-25T01:15:00+00:00,9989.174192,-7.001000,9996.175192
2026-07-25T01:30:00+00:00,10000.960846,-7.001000,10007.961846
2026-07-25T01:45:00+00:00,9991.359796,-7.001000,9998.360796
2026-07-25T02:00:00+00:00,9992.062312,-7.001000,9999.063312
2026-07-25T02:15:00+00:00,9989.876708,-7.001000,9996.877708
2026-07-25T02:30:00+00:00,9989.408364,-7.001000,9996.409364
2026-07-25T02:45:00+00:00,9986.988587,-7.001000,9993.989587
2026-07-25T03:00:00+00:00,9988.081389,-7.001000,9995.082389
2026-07-25T03:15:00+00:00,9992.374542,-7.001000,9999.375542
2026-07-25T03:30:00+00:00,9995.340719,-7.001000,10002.341719
2026-07-25T03:45:00+00:00,9993.623458,-7.001000,10000.624458
2026-07-25T04:00:00+00:00,9994.580295,9994.580295,0.000000
2026-07-25T04:15:00+00:00,9994.580295,9994.580295,0.000000
2026-07-25T04:30:00+00:00,9987.585088,-2.997375,9994.580295
2026-07-25T04:45:00+00:00,9989.609969,-2.997375,9992.555413
2026-07-25T05:00:00+00:00,9993.581852,-2.997375,9988.583531
2026-07-25T05:15:00+00:00,9994.282772,-2.997375,9987.882610
2026-07-25T05:30:00+00:00,10004.046188,10004.046188,0.000000
2026-07-25T05:45:00+00:00,10004.046188,10004.046188,0.000000
2026-07-25T06:00:00+00:00,10004.046188,10004.046188,0.000000
2026-07-25T06:15:00+00:00,10004.046188,10004.046188,0.000000
2026-07-25T06:30:00+00:00,10004.046188,10004.046188,0.000000
2026-07-25T06:45:00+00:00,10004.046188,10004.046188,0.000000
2026-07-25T07:00:00+00:00,10004.046188,10004.046188,0.000000
2026-07-25T07:15:00+00:00,10004.046188,10004.046188,0.000000
2026-07-25T07:30:00+00:00,10004.046188,10004.046188,0.000000
2026-07-25T07:45:00+00:00,10004.046188,10004.046188,0.000000
2026-07-25T08:00:00+00:00,10004.046188,10004.046188,0.000000
